StationName, StationID
138::"14015 - CITE UNIVERSITAIRE",14015
139::"14016 - REILLE MONTSOURIS",14016
140::"14017 - JOURDAN TOMBE ISSOIRE",14017
141::"14020 - PORTE DE MONTROUGE",14020
142::"14022 - BRUNE DIDOT",14022
143::"14025 - JACQUIER",14025
144::"14027 - ALESIA GERGOVIE",14027
145::"14032 - MOUTON DUVERNET - MAIRIE DU 14EME",14032
146::"14034 - RUE DE L OUEST CHATEAU",14034
147::"14035 - MAINE GAITE",14035
148::"14036 - BOULARD DAGUERRE",14036
149::"14104 - LOSSERAND BOYER-BARRET",14104
150::"14108 - JOURDAN LE BRIX ET MESNIN",14108
151::"14111 - DENFERT-ROCHEREAU CASSINI",14111
152::"14112 - FAUBOURG SAINT JACQUES CASSINI",14112
153::"14115 - CIT� UNIVERSITAIRE",14115
154::"14116 - ROMAIN ROLLAND",14116
155::"14125 - DAREAU",14125
156::"14126 - VAILLANT COUTURIER",14126
157::"15002 - BOURDELLE",15002
158::"15004 - VAUGIRARD PASTEUR",15004
159::"15005 - PLACE TREFOUEL",15005
160::"15017 - PROCESSION",15017
161::"15020 - MAIRIE DU 15EME",15020
162::"15022 - ZOLA",15022
163::"15041 - LABROUSTE",15041
164::"15042 - FARMAN",15042
165::"15043 - BRANCION",15043
166::"15044 - J DUPRE",15044
167::"15047 - DANTZIG",15047
168::"15049 - PORTE DE VERSAILLES",15049
169::"15051 - ROLLET",15051
170::"15060 - MONDRIAN",15060
171::"15061 - DESNOUETTES",15061
172::"15067 - DESAIX",15067
173::"15068 - BOULEVARD VICTOR",15068
174::"15110 - PLACE ROBERT GUILLEMARD",15110
175::"15113 - FALGUIERE ARSONVAL",15113
176::"15118 - PLACE BIENVENUE",15118
177::"16006 - RUE LAURISTON",16006
178::"16013 - AVENUE HENRI MARTIN",16013
179::"16014 - AVENUE D EYLAU",16014
180::"16015 - RUE DE BASSANO",16015
181::"16016 - PAUL DOUMER / LA TOUR",16016
182::"16017 - RUE DE SIAM",16017
183::"16018 - FLANDRIN",16018
184::"16021 - RUE FRANCOIS PONSARD",16021
185::"16022 - RUE JEAN BOLOGNE",16022
186::"16023 - RUE DE PASSY",16023
187::"16031 - BOULAINVILLIERS",16031
188::"16034 - PORTE D\u0027AUTEUIL",16034
189::"16104 - PAUL VAL�RY",16104
190::"16107 - GODARD",16107
191::"16111 - HELIE",16111
192::"16130 - BOIS DE BOULOGNE / PORTE DE LA MUETTE 2",16130
193::"17004 - LEGENDRE AVENUE DE CLICHY",17004
194::"17005 - BROCHANT",17005
195::"17017 - PONT CARDINET",17017
196::"17021 - WAGRAM (17EME ARR.)",17021
197::"17024 - VILLIERS",17024
198::"17027 - PEREIRE LEVALLOIS",17027
199::"17045 - PLACE DES TERNES - 5",17045
200::"17048 - TOCQUEVILLE",17048
201::"17105 - PALADINES",17105
202::"17111 - LEMERCIER",17111
203::"17115 - PORTE DE SAINT OUEN",17115
204::"18001 - DAMREMONT CAULAINCOURT",18001
205::"18002 - CLIGNANCOURT",18002
206::"18003 - JOSEPH DE MAISTRE LEPIC",18003
207::"18004 - ABBESSES",18004
208::"18005 - TARDIEU",18005
209::"18007 - GOUTTE D\u0027 OR",18007
210::"18009 - LEPINE",18009
211::"18016 - FRANCOEUR CAULAINCOURT",18016
212::"18019 - MONTCALM",18019
213::"18021 - MARCADET - RAMEY",18021
214::"18022 - BARBES MARCADET",18022
215::"18023 - POISSONNIERS ORDENER",18023
216::"18024 - CLIGNANCOURT MARCADET",18024
217::"18028 - VAUVENARGUES",18028
218::"18029 - POTEAU",18029
219::"18034 - LEIBNITZ",18034
220::"18036 - FRANCIS DE CROISSET",18036
221::"18041 - MARTYRS 2",18041
222::"18042 - PIGALLE GERMAIN PILLON",18042
223::"18044 - CLICHY",18044
224::"18107 - CHARTRES",18107
225::"18114 - LEPIC VERON",18114
226::"19003 - QUAI DE SEINE",19003
227::"19004 - QUAI DE LA LOIRE",19004
228::"19005 - RIQUET",19005
229::"19007 - OURCQ-FLANDRES",19007
230::"19008 - CORENTIN CARIOU",19008
231::"19010 - PORTE DE LA VILLETTE",19010
232::"19013 - LAUMIERE ET LAUMIERE BIS",19013
233::"19014 - LORRAINE",19014
234::"19015 - THIONVILLE",19015
235::"19018 - CIT� DE LA MUSIQUE VERSION 2",19018
