StationName, StationID
142::"13032 - MASSENA",13032
143::"13039 - IVRY POINTE D\u0027IVRY",13039
144::"13040 - PORTE DE CHOISY",13040
145::"13044 - PLACE JEANNE D\u0027ARC",13044
146::"13045 - TOLBIAC ALBERT",13045
147::"13051 - QUAI FRANCOIS MAURIAC TOLBIAC",13051
148::"13106 - BOBILLOT MERY",13106
149::"13110 - MOULIN DE LA POINTE",13110
150::"13114 - NATIONALE DUCHAMP (PROP 1)",13114
151::"13116 - PLACE DU DOCTEUR YERSIN",13116
152::"13122 - PARC DE CHOISY",13122
153::"13123 - BIBLIOTH�QUE FRAN�OIS MITTERAND",13123
154::"13514 - GARE D\u0027AUSTERLITZ 2",13514
155::"14001 - EDGAR QUINET",14001
156::"14004 - PORT ROYAL COCHIN",14004
157::"14005 - DENFERT ROCHEREAU",14005
158::"14006 - SAINT JACQUES TOMBE ISSOIRE",14006
159::"14007 - SAINT JACQUES FERRUS",14007
160::"14008 - MOUTON DUVERNET",14008
161::"14009 - COTY TOMBE D\u0027ISSOIRE",14009
162::"14010 - JEAN MOULIN ALESIA",14010
163::"14011 - ALESIA SARRETTE",14011
164::"14015 - CITE UNIVERSITAIRE",14015
165::"14016 - REILLE MONTSOURIS",14016
166::"14017 - JOURDAN TOMBE ISSOIRE",14017
167::"14018 - PORTE D\u0027ORLEANS",14018
168::"14020 - PORTE DE MONTROUGE",14020
169::"14022 - BRUNE DIDOT",14022
170::"14023 - MALAKOFF PINARD",14023
171::"14025 - JACQUIER",14025
172::"14026 - PLANTES MOULIN VERT",14026
173::"14027 - ALESIA GERGOVIE",14027
174::"14032 - MOUTON DUVERNET - MAIRIE DU 14EME",14032
175::"14034 - RUE DE L OUEST CHATEAU",14034
176::"14035 - MAINE GAITE",14035
177::"14036 - BOULARD DAGUERRE",14036
178::"14101 - PLACE FERNAND MOURLOT",14101
179::"14104 - LOSSERAND BOYER-BARRET",14104
180::"14108 - JOURDAN LE BRIX ET MESNIN",14108
181::"14110 - ABBE CARTON",14110
182::"14111 - DENFERT-ROCHEREAU CASSINI",14111
183::"14112 - FAUBOURG SAINT JACQUES CASSINI",14112
184::"14116 - ROMAIN ROLLAND",14116
185::"14122 - BRUNE",14122
186::"14125 - DAREAU",14125
187::"14126 - VAILLANT COUTURIER",14126
188::"14127 - ODESSA",14127
189::"15002 - BOURDELLE",15002
190::"15004 - VAUGIRARD PASTEUR",15004
191::"15014 - VOLONTAIRES",15014
192::"15017 - PROCESSION",15017
193::"15018 - ALLERAY",15018
194::"15031 - THEATRE",15031
195::"15038 - PLACE ADOLPHE CHERIOUX",15038
196::"15041 - LABROUSTE",15041
197::"15042 - FARMAN",15042
198::"15043 - BRANCION",15043
199::"15044 - J DUPRE",15044
200::"15047 - DANTZIG",15047
201::"15049 - PORTE DE VERSAILLES",15049
202::"15061 - DESNOUETTES",15061
203::"15067 - DESAIX",15067
204::"15068 - BOULEVARD VICTOR",15068
205::"15112 - FALGUI�RE LEBRUN",15112
206::"15113 - FALGUIERE ARSONVAL",15113
207::"16001 - AVENUE DES PORTUGAIS",16001
208::"16005 - POINCARE VICTOR HUGO",16005
209::"16006 - RUE LAURISTON",16006
210::"16010 - BELLES FEUILLES",16010
211::"16013 - AVENUE HENRI MARTIN",16013
212::"16014 - AVENUE D EYLAU",16014
213::"16016 - PAUL DOUMER / LA TOUR",16016
214::"16017 - RUE DE SIAM",16017
215::"16018 - FLANDRIN",16018
216::"16019 - HENRI MARTIN",16019
217::"16021 - RUE FRANCOIS PONSARD",16021
218::"16022 - RUE JEAN BOLOGNE",16022
219::"16023 - RUE DE PASSY",16023
220::"16027 - JASMIN",16027
221::"16031 - BOULAINVILLIERS",16031
222::"16032 - EGLISE D AUTEUIL",16032
223::"16103 - TRAKTIR",16103
